category,district,time_slot,hour,day_of_week,month,day,season,is_weekend,is_holiday,weather_condition,crowdlevel,tourist_season,festival_period
Nature,Kathmandu,morning,9,4,6,28,Summer,0,0,Cloudy,7.3,Low,No
Nature,Kathmandu,afternoon,14,4,6,28,Summer,0,0,Foggy,8.8,Low,No
Nature,Kathmandu,evening,18,4,6,28,Summer,0,0,Cloudy,8.3,Low,No
Nature,Kathmandu,morning,9,5,6,29,Summer,1,0,Cloudy,12.1,Low,No
Nature,Kathmandu,afternoon,14,5,6,29,Summer,1,0,Cloudy,21.1,Low,No
Nature,Kathmandu,evening,18,5,6,29,Summer,1,0,Foggy,11.7,Low,No
Nature,Kathmandu,morning,9,6,6,30,Summer,1,0,Foggy,10.0,Low,No
Nature,Kathmandu,afternoon,14,6,6,30,Summer,1,0,Foggy,15.5,Low,No
Nature,Kathmandu,evening,18,6,6,30,Summer,1,0,Rainy,9.2,Low,No
Nature,Kathmandu,morning,9,0,7,1,Summer,0,0,Rainy,5.0,Low,No
Nature,Kathmandu,afternoon,14,0,7,1,Summer,0,0,Rainy,5.0,Low,No
Nature,Kathmandu,evening,18,0,7,1,Summer,0,0,Rainy,5.0,Low,No
Nature,Kathmandu,morning,9,1,7,2,Summer,0,0,Foggy,5.0,Low,No
Nature,Kathmandu,afternoon,14,1,7,2,Summer,0,0,Cloudy,7.3,Low,No
Nature,Kathmandu,evening,18,1,7,2,Summer,0,0,Foggy,5.0,Low,No
Nature,Kathmandu,morning,9,2,7,3,Summer,0,0,Rainy,5.0,Low,No
Nature,Kathmandu,afternoon,14,2,7,3,Summer,0,0,Foggy,6.3,Low,No
Nature,Kathmandu,evening,18,2,7,3,Summer,0,0,Rainy,5.0,Low,No
Nature,Kathmandu,morning,9,3,7,4,Summer,0,0,Foggy,5.0,Low,No
Nature,Kathmandu,afternoon,14,3,7,4,Summer,0,0,Cloudy,7.9,Low,No
Nature,Kathmandu,evening,18,3,7,4,Summer,0,0,Foggy,5.0,Low,No
Nature,Kathmandu,morning,9,4,7,5,Summer,0,0,Cloudy,5.0,Low,No
Nature,Kathmandu,afternoon,14,4,7,5,Summer,0,0,Cloudy,7.5,Low,No
