place_id,category,district,time_slot,hour,day_of_week,month,season,is_weekend,is_holiday,weather_condition,crowdlevel
8,Nature,Kathmandu,morning,8,4,1,Winter,0,0,Cloudy,89.9
8,Nature,Kathmandu,afternoon,14,4,1,Winter,0,0,Cloudy,48.7
8,Nature,Kathmandu,evening,19,4,1,Winter,0,0,Cloudy,77.2
8,Nature,Kathmandu,morning,8,5,1,Winter,1,0,Foggy,85.1
8,Nature,Kathmandu,afternoon,14,5,1,Winter,1,0,Foggy,60.7
8,Nature,Kathmandu,evening,19,5,1,Winter,1,0,Foggy,100
8,Nature,Kathmandu,morning,8,6,1,Winter,1,0,Foggy,83.5
8,Nature,Kathmandu,afternoon,14,6,1,Winter,1,0,Foggy,55.2
8,Nature,Kathmandu,evening,19,6,1,Winter,1,0,Foggy,100
8,Nature,Kathmandu,morning,8,0,1,Winter,0,0,Sunny,84.1
8,Nature,Kathmandu,afternoon,14,0,1,Winter,0,0,Sunny,36.4
8,Nature,Kathmandu,evening,19,0,1,Winter,0,0,Sunny,96.1
8,Nature,Kathmandu,morning,8,1,1,Winter,0,0,Foggy,62.9
8,Nature,Kathmandu,afternoon,14,1,1,Winter,0,0,Foggy,39.3
8,Nature,Kathmandu,evening,19,1,1,Winter,0,0,Foggy,83.0
8,Nature,Kathmandu,morning,8,2,1,Winter,0,0,Foggy,59.7
8,Nature,Kathmandu,afternoon,14,2,1,Winter,0,0,Foggy,38.4
8,Nature,Kathmandu,evening,19,2,1,Winter,0,0,Foggy,72.7
8,Nature,Kathmandu,morning,8,3,1,Winter,0,0,Sunny,83.3
8,Nature,Kathmandu,afternoon,14,3,1,Winter,0,0,Sunny,37.2
8,Nature,Kathmandu,evening,19,3,1,Winter,0,0,Sunny,98.8
8,Nature,Kathmandu,morning,8,4,1,Winter,0,0,Sunny,88.6
8,Nature,Kathmandu,afternoon,14,4,1,Winter,0,0,Sunny,32.7
8,Nature,Kathmandu,evening,19,4,1,Winter,0,0,Sunny,97.0
8,Nature,Kathmandu,morning,8,5,1,Winter,1,0,Sunny,100
8,Nature,Kathmandu,afternoon,14,5,1,Winter,1,0,Sunny,59.9
8,Nature,Kathmandu,evening,19,5,1,Winter,1,0,Sunny,100
8,Nature,Kathmandu,morning,8,6,1,Winter,1,0,Foggy,80.7
8,Nature,Kathmandu,afternoon,14,6,1,Winter,1,0,Foggy,51.7
8,Nature,Kathmandu,evening,19,6,1,Winter,1,0,Foggy,100
8,Nature,Kathmandu,morning,8,0,1,Winter,0,0,Foggy,65.3
8,Nature,Kathmandu,afternoon,14,0,1,Winter,0,0,Foggy,42.5
8,Nature,Kathmandu,evening,19,0,1,Winter,0,0,Foggy,85.2
8,Nature,Kathmandu,morning,8,1,1,Winter,0,0,Sunny,88.7
8,Nature,Kathmandu,afternoon,14,1,1,Winter,0,0,Sunny,34.0
8,Nature,Kathmandu,evening,19,1,1,Winter,0,0,Sunny,98.8
8,Nature,Kathmandu,morning,8,2,1,Winter,0,0,Cloudy,77.3
8,Nature,Kathmandu,afternoon,14,2,1,Winter,0,0,Cloudy,52.3
8,Nature,Kathmandu,evening,19,2,1,Winter,0,0,Cloudy,75.8
8,Nature,Kathmandu,morning,8,3,1,Winter,0,0,Sunny,83.4
8,Nature,Kathmandu,afternoon,14,3,1,Winter,0,0,Sunny,33.2
8,Nature,Kathmandu,evening,19,3,1,Winter,0,0,Sunny,82.4
8,Nature,Kathmandu,morning,8,4,1,Winter,0,0,Cloudy,80.1
8,Nature,Kathmandu,afternoon,14,4,1,Winter,0,0,Cloudy,43.9
