place_id,place_name,category,district,tags,date,time_slot,day_of_week,month,season,is_weekend,is_holiday,weather_condition,crowdlevel,status
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-24,morning,1,12,Winter,0,0,Sunny,72,High
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-24,afternoon,1,12,Winter,0,0,Sunny,38,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-24,evening,1,12,Winter,0,0,Sunny,28,Low
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-25,morning,2,12,Winter,0,0,Clear,46,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-25,afternoon,2,12,Winter,0,0,Clear,12,Low
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-25,evening,2,12,Winter,0,0,Clear,35,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-26,morning,3,12,Winter,0,0,Rainy,45,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-26,afternoon,3,12,Winter,0,0,Rainy,38,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-26,evening,3,12,Winter,0,0,Rainy,49,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-27,morning,4,12,Winter,0,0,Sunny,62,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-27,afternoon,4,12,Winter,0,0,Sunny,60,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-27,evening,4,12,Winter,0,0,Sunny,62,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-28,morning,5,12,Winter,1,0,Rainy,56,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-28,afternoon,5,12,Winter,1,0,Rainy,33,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-28,evening,5,12,Winter,1,0,Rainy,59,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-29,morning,6,12,Winter,1,0,Sunny,71,High
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-29,afternoon,6,12,Winter,1,0,Sunny,62,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-29,evening,6,12,Winter,1,0,Sunny,56,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-30,morning,0,12,Winter,0,0,Sunny,42,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-30,afternoon,0,12,Winter,0,0,Sunny,100,High
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-30,evening,0,12,Winter,0,0,Sunny,49,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-31,morning,1,12,Winter,0,0,Clear,37,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-31,afternoon,1,12,Winter,0,0,Clear,59,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2024-12-31,evening,1,12,Winter,0,0,Clear,60,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2025-01-01,morning,2,1,Winter,0,1,Cloudy,49,Medium
67,Swayambhunath Stupa,Religious,Kathmandu,,2025-01-01,afternoon,2,1,Winter,0,1,Cloudy,74,High
67,Swayambhunath Stupa,Religious,Kathmandu,,2025-01-01,evening,2,1,Winter,0,1,Cloudy,53,Medium
